ID del envio,Registre su tipo de empresa organizacion ciudadano,Provincia,Genero,CIIU,Tiene conocimientos de computacion y navegacion en internet,Conoce las oportunidades que el IOT (Internet de las cosas) puede aportar en su trabajo y empresa,Conoce las oportunidades que el IA (Inteligencia artificial) puede aportar en su trabajo y empresa,Conoce como utilizar herramientas de busqueda avanzada en Internet para mejorar los resultados en funcion de sus necesidades,Identifica parametros que deben cumplir las paginas web y la informacion online para considerar su confiabilidad y calidad,Clasifica la informacion mediante archivos y carpetas para facilitar su localizacion posterior,Conoce o ha utilizado servicios de alojamiento de archivos en la nube,Ha participado en consultas ciudadanas o encuestas a traves de internet (online) a propuestas de organizaciones publicas o sociales,"Usted sabe como generar un perfil publico, personal o profesional en las Redes Sociales, controlando los detalles de la imagen que quiere transmitir","Es capaz de utilizar los diferentes medios digitales para exponer de manera creativa esquemas graficos, mapas conceptuales, infografias","Sabe editar y modificar con herramientas digitales, el formato de diferentes tipos de archivo textos, fotografias, videos",Conoce los fundamentos de los procesos digitales y de la creacion de software. Entiendo los principios de la programacion,"Conoce y actua con prudencia cuando recibe mensajes cuyo remitente, contenido o archivo adjunto sea desconocido (SPAM)","Se interesa en conocer las politicas de privacidad de las plataformas que utiliza en Internet, asi como el tratamiento que hacen de sus datos personales","Se mantiene informado y actualizado sobre habitos saludables y seguros en el uso de la tecnologia, y los fomenta y los difunde","Es capaz de evaluar y elegir de manera adecuada un dispositivo, software, aplicacion o servicio para realizar sus tareas",Participa en experiencias innovadoras relacionadas con el uso de nuevas tecnologias,Conoce su nivel de competencia digital e identifica claramente sus carencias con respecto a los requisitos de su entorno laboral,Edad,Puntuacion
17907,Microempresarios,nan,nan,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,No,Si,Si,Si,No,No,Si,Si,No,No,No,Si,Si,Si,No,No,No,nan,113
17942,Grandes empresas e industria,nan,nan,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,No,Si,No,Si,Si,No,No,No,No,No,No,No,Si,Si,No,Si,No,nan,103
17984,Microempresarios,nan,nan,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,Si,No,Si,Si,No,No,No,No,nan,87
17994,Ciudadano,nan,nan,"Actividades profesionales, cientificas y tecnicas.",Si,No,No,Si,Si,Si,Si,No,Si,No,Si,No,Si,Si,Si,No,Si,No,nan,81
18007,Ciudadano,nan,nan,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,46
18023,Microempresarios,nan,nan,Informacion y comunicacion.,Si,No,Si,No,No,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,nan,94
19021,Ciudadano,nan,nan,nan,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,No,Si,nan,121
19028,Microempresarios,nan,nan,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,112
19031,Gobierno,nan,nan,nan,nan,nan,nan,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,119
19052,Microempresarios,nan,nan,Informacion y comunicacion.,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,135
