parroquia,total_puntos,lat_min,lat_max,lon_min,lon_max,area_aprox,densidad_puntos
ALANGASI,22,-0.332976,-0.2837425,-78.4418571,-78.406367,0.0017473018383495006,12590.8412142353
AMAGUAÑA,46,-0.398404,-0.3236618,-78.515698,-78.474696,0.003064579684400446,15010.215017136823
ATAHUALPA,2,0.132463,0.132548,-78.371288,-78.369505,1.51555000000275e-07,13196529.31276679
BELISARIO QUEVEDO,28,-0.2057942,-0.176369,-78.5169531,-78.492234,0.000727364461319961,38495.14444132713
CALACALI,6,-0.001487,0.025317,-78.555817,-78.483233,0.001945541536000166,3083.9742503443977
CALDERON,137,-0.1303,-0.044986,-78.4543541,-78.3959968,0.004978694692199768,27517.252707751082
CARCELEN,22,-0.08955,-0.073373,-78.475456,-78.454583,0.0003376625209999127,65153.810777849656
CENTRO HISTORICO,61,-0.2310935,-0.2155361,-78.522398,-78.503836,0.0002887764587998233,211236.05522943454
CHAVEZPAMBA,2,0.124325,0.124455,-78.404156,-78.404101,7.150000000421614e-09,279720279.7037854
CHECA,7,-0.159027,-0.122599,-78.323442,-78.29426,0.0010630418960002118,6584.876876761032
CHILIBULO,26,-0.254734,-0.232309,-78.548702,-78.528084,0.00046235864999997627,56233.402359837615
CHILLOGALLO,31,-0.292238,-0.271257,-78.5858267,-78.502951,0.0017388150617000488,17828.232963252074
CHIMBACALLE,34,-0.2526509,-0.2353,-78.5216691,-78.507258,0.0002500455549900657,135975.22260034105
COCHAPAMBA,16,-0.1600057,-0.1241931,-78.517616,-78.504036,0.0004863351080001643,32899.126007564715
COMITE DEL PUEBLO,14,-0.1252777,-0.110475,-78.4689809,-78.4571405,0.00017526988908016545,79876.81211800527
CONOCOTO,36,-0.325607,-0.2552,-78.505897522,-78.464615,0.002906578526454214,12385.696678189193
COTOCOLLAO,18,-0.125815,-0.107073,-78.504466,-78.4942,0.00019240537199976076,93552.48147656907
CUMBAYA,16,-0.2322568,-0.19534,-78.4597414,-78.420515,0.0014481131635201473,11048.860270772198
EL CONDADO,56,-0.1268111,-0.0616,-78.5344441,-78.4987165,0.0023298360963600853,24036.025576000426
EL QUINCHE,13,-0.112939,-0.097483,-78.314361,-78.289997,0.00037656998400008654,34522.135465786385
GUALEA,1,0.111563,0.111563,-78.749298,-78.749298,0.0,
GUAMANI,49,-0.353109,-0.3112781,-78.5815815,-78.5483041,0.0013920235916601213,35200.55284520201
GUANGOPOLO,6,-0.2639609575,-0.249406,-78.4518854,-78.440553,0.0001649426003730083,36376.29082136053
GUAYLLABAMBA,13,-0.065653,-0.051487,-78.363093,-78.344304,0.00026616497400017543,48841.88856491475
ITCHIMBIA,53,-0.229757,-0.1965103,-78.5067637,-78.474703,0.0010659124746896064,49722.65665192969
IÑAQUITO,49,-0.2033083,-0.1679034,-78.493343,-78.4584479,0.001235457525989998,39661.420137236426
JIPIJAPA,10,-0.170037,-0.1583,-78.4856111,-78.4574619,0.0003303871604000167,30267.520044945108
KENNEDY,15,-0.1479,-0.1235906,-78.4899877,-78.47449,0.0003767397883799368,39815.27957135419
LA ARGELIA,35,-0.2921427,-0.2712867,-78.5402493,-78.511186,0.0006061441848000879,57742.03708898624
LA CONCEPCION,12,-0.154616,-0.124982,-78.502875,-78.486443,0.0004869458880002634,24643.395284187118
LA ECUATORIANA,35,-0.331537,-0.29149,-78.582329,-78.559594,0.0009104685449998912,38441.74539824897
LA FERROVIARIA,29,-0.276625,-0.242769,-78.5243902,-78.4521,0.00244745701119992,11849.033452800917
LA LIBERTAD,14,-0.2308683,-0.2175,-78.5316781,-78.521032,0.00014232025862984256,98369.69195237533
LA MAGDALENA,19,-0.249257,-0.234857,-78.533676,-78.5163988,0.0002487916799999311,76369.1133079903
LA MENA,25,-0.275939,-0.2503675,-78.563559,-78.5461149,0.0004460718031497856,56044.78880635568
LA MERCED,11,-0.307623,-0.2878483,-78.409538269,-78.3975367,0.00023732742650413598,46349.468167381405
LLANO CHICO,19,-0.141651,-0.1226,-78.458672,-78.413412,0.000862248260000251,22035.41703870121
LLOA,5,-0.2478814,-0.2288,-78.7671,-78.5802802,0.003564783331719904,1402.6097899160804
MARISCAL SUCRE,30,-0.2096633,-0.200393,-78.499129,-78.485427,0.00012702165059995374,236180.2091084693
NANEGAL,2,0.1370848,0.1387939,-78.6786752,-78.6754418,5.526203939998544e-06,361912.0867986872
NANEGALITO,5,0.05995,0.091622,-78.734495,-78.682299,0.001653151711999842,3024.5257974245005
NAYON,6,-0.1807,-0.156394,-78.441191,-78.4236116,0.0004272848964000598,14042.153257816768
NONO,3,-0.065518,-0.0634,-78.576743,-78.516527,0.00012753748799999403,23522.495597530826
PACTO,4,0.126567,0.143601,-78.797277,-78.766972,0.0005162153699999738,7748.70380167139
PERUCHO,2,0.108834,0.110081,-78.425477,-78.423532,2.425415000007856e-06,824601.1507282349
PIFO,13,-0.268351,-0.2191817,-78.348058,-78.3349542,0.0006443046733398089,20176.78986032086
PINTAG,17,-0.421491,-0.3347467,-78.409954,-78.3509,0.005122597892200284,3318.628625113121
POMASQUI,20,-0.073577,-0.0391,-78.4795806,-78.441,0.001330143346200106,15035.973421312152
PONCEANO,12,-0.121207,-0.103206,-78.491986,-78.483604,0.00015088438199995394,79531.09421228012
PUELLARO,3,0.065133,0.066645,-78.40292,-78.400214,4.091471999983694e-06,733232.4405524358
PUEMBO,12,-0.2038209,-0.1339172,-78.3776584,-78.344322,0.002330337704679724,5149.468240548102
PUENGASI,48,-0.256217,-0.2217739,-78.504709,-78.475389,0.0010098716919999461,47530.790673952826
QUITUMBE,62,-0.3194333,-0.2810405,-78.5585467,-78.3988,0.006133123103759971,10109.042155372732
RUMIPAMBA,9,-0.1850413,-0.1578345,-78.507714,-78.4875,0.0005499582552002707,16364.878451951949
SAN ANTONIO,24,-0.014851,0.043528,-78.4795784,-78.433332,0.002699818585600066,8889.48617807434
