nombre,lat,lng,az,parroquia
AMAGUAÑA,-0.385423,-78.509589, LOS CHILLOS,AMAGUAÑA
ESCUELA ARMADA NACIONAL,-0.226492,-78.529998, MANUELA SAENZ,LA LIBERTAD
CANCHAS OLALLA,-0.2303851,-78.3397461, TUMBACO,PIFO
BARRIO 15 DE JULIO,-0.1176133,-78.5175417, LA DELICIA ,EL CONDADO
PLAZA REAL CALDERON,-0.098656,-78.422397,CALDERON,CALDERON
QUEBRADA CURIQUINGUE,-0.063083,-78.453056,CALDERON,CALDERON
IGLESIA SANTA ANA DE CALDERON,-0.096187,-78.402462,CALDERON,CALDERON
CASA COMUNAL LUZ Y VIDA CALDERON,-0.070926,-78.437544,CALDERON,CALDERON
PARQUE CALLE LINARES CALDERON,-0.1170434,-78.4512894,CALDERON,CALDERON
CARAPUNGO,-0.1065689,-78.4207964,CALDERON,CALDERON
PARQUE SANJALOMA,-0.2957746089,-78.409538269, LOS CHILLOS,LA MERCED
CENTRO MEDICO HILDEGARDA,-0.083176,-78.510675, LA DELICIA ,EL CONDADO
CANCHA LLANO CHICO,-0.123161,-78.458672,CALDERON,LLANO CHICO
CALDERON,-0.0990467,-78.42188,CALDERON,CALDERON
CEMEI CARAPUNGO,-0.096009,-78.4516917,CALDERON,CALDERON
PARQUE MARIANITA DE JESUS,-0.0963,-78.4377,CALDERON,CALDERON
PARQUE ARGELIA ALTA,-0.2852,-78.5331,ELOY ALFARO,LA ARGELIA
CASA BARRIAL LA VAQUERÃA,-0.3926033,-78.5026667, LOS CHILLOS,AMAGUAÑA
PARQUE CARAPUNGO,-0.0932792,-78.4509251,CALDERON,CALDERON
IGLESIA USHIMANA LOS CHILLOS,-0.303424,-78.432898, LOS CHILLOS,ALANGASI
PARADA TRANS CAPELO,-0.329393,-78.498312, LOS CHILLOS,AMAGUAÑA
GUAGUA CENTRO CIUDAD BICENTENARIO,-0.0656885,-78.4513447,CALDERON,CALDERON
CONOCOTO,-0.318282,-78.485215, LOS CHILLOS,CONOCOTO
MERCADO CHIRIYACU,-0.2484988,-78.5177496,ELOY ALFARO,CHIMBACALLE
ALANGASI,-0.3087,-78.4156, LOS CHILLOS,ALANGASI
IGLESIA SAN JOSE EL TINGO,-0.2837425,-78.4369736, LOS CHILLOS,ALANGASI
ESCUELA ERNESTO CHE GEVARA,-0.3284834,-78.5776072,QUITUMBE,LA ECUATORIANA
CASA BARRIAL LOS CHILLOS,-0.2864866,-78.4712681, LOS CHILLOS,CONOCOTO
MERCADO COTOCOLLAO,-0.115905,-78.490006, LA DELICIA ,PONCEANO
MERCADO SAN FRANCISCO,-0.220005,-78.518356, MANUELA SAENZ,CENTRO HISTORICO
MERCADO DE CAUPICHO,-0.3300171724,-78.5364532471,QUITUMBE,TURUBAMBA
MERCADO DE AMAGUAÑA,-0.3767,-78.5077, LOS CHILLOS,AMAGUAÑA
PARQUE DEL ENCUENTRO,-0.1843,-78.5001, EUGENIO ESPEJO ,RUMIPAMBA
SUPERMERCADO METROPOLITANO DEL NORTE,-0.139429,-78.5005165, EUGENIO ESPEJO ,LA CONCEPCION
MERCADO MENA DOS,-0.2582976,-78.5525506,ELOY ALFARO,LA MENA
ESTADIO NANEGALITO,0.0604322,-78.6826878,CHOCO ANDINO,NANEGALITO
MERCADO DE TOCTIUCO,-0.2097144,-78.5222299, MANUELA SAENZ,SAN JUAN
MERCADO SAN ROQUE,-0.2184775082,-78.5217202195, MANUELA SAENZ,LA LIBERTAD
MERCADO SAN JUAN,-0.2101021,-78.5116377, MANUELA SAENZ,SAN JUAN
MERCADO LA MAGDALENA,-0.2415179,-78.5297873,ELOY ALFARO,LA MAGDALENA
MERCADO BELLAVISTA,-0.1897725,-78.4714192, EUGENIO ESPEJO ,IÑAQUITO
MERCADO DE SOLANDA,-0.2687899,-78.5430372,ELOY ALFARO,SOLANDA
MERCADO DE CONOCOTO,-0.2974283,-78.4804313, LOS CHILLOS,CONOCOTO
MERCADO CUMBAYA,-0.200867,-78.433837, TUMBACO,CUMBAYA
MERCADO DE CARAPUNGO,-0.0962379,-78.4506818,CALDERON,CALDERON
MERCADO LA KENNEDY,-0.1395295,-78.4779727, EUGENIO ESPEJO ,KENNEDY
MERCADO COMITE DEL PUEBLO,-0.1189525,-78.4655356, LA DELICIA ,COMITE DEL PUEBLO
MERCADO SANTA MARTHA DE CHILLOGALLO,-0.276045,-78.559145,QUITUMBE,CHILLOGALLO
MERCADO CENTRAL,-0.219845,-78.507137, MANUELA SAENZ,CENTRO HISTORICO
MERCADO SANTA CLARA,-0.199831,-78.4999794,LA MARISCAL,BELISARIO QUEVEDO
LIGA DEPORTIVA BARRIAL HIERBA BUENA,-0.27579,-78.521482,ELOY ALFARO,LA ARGELIA
COLEGIO MONTUFAR,-0.240344,-78.509984,ELOY ALFARO,CHIMBACALLE
CASA DE LA CULTURA,-0.2115148,-78.4975763, MANUELA SAENZ,ITCHIMBIA
