nombre,latitud,longitud,administracion_zonal,parroquia,area_km2,densidad_puntos,nivel_necesidad
AMAGUAÑA,-0.385423,-78.509589,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
ESCUELA ARMADA NACIONAL,-0.226492,-78.529998,MANUELA SAENZ,LA LIBERTAD,2.0,7.0,1
CANCHAS OLALLA,-0.2303851,-78.3397461,TUMBACO,PIFO,100.0,0.13,4
BARRIO 15 DE JULIO,-0.1176133,-78.5175417,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
PLAZA REAL CALDERON,-0.098656,-78.422397,CALDERON,CALDERON,30.0,4.566666666666666,2
QUEBRADA CURIQUINGUE,-0.063083,-78.453056,CALDERON,CALDERON,30.0,4.566666666666666,2
IGLESIA SANTA ANA DE CALDERON,-0.096187,-78.402462,CALDERON,CALDERON,30.0,4.566666666666666,2
CASA COMUNAL LUZ Y VIDA CALDERON,-0.070926,-78.437544,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE CALLE LINARES CALDERON,-0.1170434,-78.4512894,CALDERON,CALDERON,30.0,4.566666666666666,2
CARAPUNGO,-0.1065689,-78.4207964,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE SANJALOMA,-0.2957746089,-78.409538269,LOS CHILLOS,LA MERCED,1.5,7.333333333333333,1
CENTRO MEDICO HILDEGARDA,-0.083176,-78.510675,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
CANCHA LLANO CHICO,-0.123161,-78.458672,CALDERON,LLANO CHICO,15.0,1.2666666666666666,3
CALDERON,-0.0990467,-78.42188,CALDERON,CALDERON,30.0,4.566666666666666,2
CEMEI CARAPUNGO,-0.096009,-78.4516917,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE MARIANITA DE JESUS,-0.0963,-78.4377,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE ARGELIA ALTA,-0.2852,-78.5331,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
CASA BARRIAL LA VAQUERÃA,-0.3926033,-78.5026667,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
PARQUE CARAPUNGO,-0.0932792,-78.4509251,CALDERON,CALDERON,30.0,4.566666666666666,2
IGLESIA USHIMANA LOS CHILLOS,-0.303424,-78.432898,LOS CHILLOS,ALANGASI,40.0,0.55,4
PARADA TRANS CAPELO,-0.329393,-78.498312,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
GUAGUA CENTRO CIUDAD BICENTENARIO,-0.0656885,-78.4513447,CALDERON,CALDERON,30.0,4.566666666666666,2
CONOCOTO,-0.318282,-78.485215,LOS CHILLOS,CONOCOTO,50.0,0.72,3
MERCADO CHIRIYACU,-0.2484988,-78.5177496,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
ALANGASI,-0.3087,-78.4156,LOS CHILLOS,ALANGASI,40.0,0.55,4
IGLESIA SAN JOSE EL TINGO,-0.2837425,-78.4369736,LOS CHILLOS,ALANGASI,40.0,0.55,4
ESCUELA ERNESTO CHE GEVARA,-0.3284834,-78.5776072,QUITUMBE,LA ECUATORIANA,8.0,4.375,2
CASA BARRIAL LOS CHILLOS,-0.2864866,-78.4712681,LOS CHILLOS,CONOCOTO,50.0,0.72,3
MERCADO COTOCOLLAO,-0.115905,-78.490006,LA DELICIA,PONCEANO,6.0,2.0,3
MERCADO SAN FRANCISCO,-0.220005,-78.518356,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
MERCADO DE CAUPICHO,-0.3300171724,-78.5364532471,QUITUMBE,TURUBAMBA,6.0,9.0,1
MERCADO DE AMAGUAÑA,-0.3767,-78.5077,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
PARQUE DEL ENCUENTRO,-0.1843,-78.5001,EUGENIO ESPEJO,RUMIPAMBA,4.5,2.0,3
SUPERMERCADO METROPOLITANO DEL NORTE,-0.139429,-78.5005165,EUGENIO ESPEJO,LA CONCEPCION,2.5,4.8,2
